Case_no,Joint,Composition_Method,Pipe_OD,Pipe_WT,Yield_Strength,Tensile_Strength,C,Mn,S
43,JT-10,LIBS_XRF,4.5,0.156,52607.04679626487,65963.98337355143,0.11643614343365168,1.0402582110347696,8.652883683765971e-5
44,JT-10,LIBS_XRF,4.5,0.156,44558.36031656277,72283.85935993884,0.15666589117974472,1.010641465436867,0.00837578923733304
45,JT-10,LIBS_XRF,4.5,0.156,43433.755350247106,61656.167812398635,0.1203892140475013,1.0132838655842444,0.008697544784242173
46,JT-10,LIBS_XRF,4.5,0.156,47630.544107359296,65528.985819211746,0.1160788140116384,1.0388136873458116,0.013584308196012381
47,JT-10,LIBS_XRF,4.5,0.156,48925.02074776926,68083.93718210515,0.16942987510197396,0.9790335671274649,0.014956501978829612
48,JT-10,LIBS_XRF,4.5,0.156,38952.863457052365,69241.92129084298,0.13225520653072834,1.032722643703517,5.380284030147894e-4
49,JT-10,LIBS_XRF,4.5,0.156,42713.246302406464,63532.85156085792,0.12227879314940836,1.0432964018504454,0.008635922932947362
50,JT-10,LIBS_XRF,4.5,0.156,51198.39535393873,62703.67557404366,0.12446386260611067,1.0176562589766205,0.01035972161934357
51,JT-10,LIBS_XRF,4.5,0.156,53065.35471246337,70624.06205988982,0.08973971359985722,1.0764115932107974,0.005432983305939949
52,JT-10,LIBS_XRF,4.5,0.156,47553.0278467837,69514.40231514386,0.10321109601394121,1.0354643096084528,0.005927034935606756
53,JT-10,LIBS_XRF,4.5,0.156,58370.37685650127,71412.05273928132,0.13447429639704175,1.0379998612401393,0.005027940680738249
54,JT-10,LIBS_XRF,4.5,0.156,60036.637066470386,70949.34288170085,0.07822745157350425,1.0274066555808326,4.303657601349071e-4
55,JT-10,LIBS_XRF,4.5,0.156,48874.35832643432,69098.17159215307,0.1661222519834475,0.9998112562549184,0.001368491667725638
56,JT-10,LIBS_XRF,4.5,0.156,49047.91063986948,67704.58579936904,0.1389657295395702,1.0370870684506723,8.913329576703388e-4
57,JT-10,LIBS_XRF,4.5,0.156,32625.33296463436,64886.23545837884,0.1594242763521953,1.0148754662522508,0.007579391563861326
58,JT-10,LIBS_XRF,4.5,0.156,42431.45421673447,67222.43509915494,0.0888951124935001,1.019780821559992,0.001655936660320671
59,JT-10,LIBS_XRF,4.5,0.156,42891.240589829846,71143.85488032657,0.0992943106718885,0.984032273340683,0.006534390205315037
60,JT-10,LIBS_XRF,4.5,0.156,47594.0447643923,69511.43171646933,0.05297779680899749,1.0381473717343526,0.005633545575110831
61,JT-10,LIBS_XRF,4.5,0.156,48684.56618184008,61700.929049248305,0.09308877253916482,1.0152693777086075,0.0021199578118299973
62,JT-10,LIBS_XRF,4.5,0.156,37800.863808464004,71400.2235445916,0.12556348051301927,1.0112926632836499,2.1676582413550924e-4
63,JT-10,LIBS_XRF,4.5,0.156,49994.01930995961,76012.26814689927,0.13714990994892465,0.9793404173033611,0.008389160836107138
64,JT-10,LIBS_XRF,4.5,0.156,57542.50676769914,63513.49157107264,0.1121686432236844,1.0028104080278546,0.011279836967600685
65,JT-10,LIBS_XRF,4.5,0.156,45335.06969778349,71207.57702433472,0.1626282011212517,1.031175482400541,0.015507240143400786
66,JT-10,LIBS_XRF,4.5,0.156,42789.03225799768,74293.48086946494,0.13492171419513235,1.0336240549262938,0.00824623688036135
67,JT-10,LIBS_XRF,4.5,0.156,54349.586257800744,76035.47426244617,0.17363602080204574,1.027549528140304,0.00461584540053458
68,JT-10,LIBS_XRF,4.5,0.156,44639.13546985729,65713.25201255262,0.1310913565153985,1.0090621423029642,0.0130193416108745
69,JT-10,LIBS_XRF,4.5,0.156,45688.771454284855,69198.67265589815,0.07412228489120255,1.046328911313835,0.012684218028997085
70,JT-10,LIBS_XRF,4.5,0.156,42244.413584807175,64963.9549178765,0.08187442032925163,1.0180983545308058,0.005867968023008754
71,JT-10,LIBS_XRF,4.5,0.156,40286.38360003589,66735.20994473287,0.14992601920483126,0.9990601425155607,0.014155163618136879
72,JT-10,LIBS_XRF,4.5,0.156,46473.64051653788,73559.57787777395,0.13256679578192246,1.0623809194997775,5.956198459558261e-4
73,JT-10,LIBS_XRF,4.5,0.156,52787.448515761265,70485.65634781633,0.09913301335228561,1.062822056046744,0.004226620737308539
74,JT-10,LIBS_XRF,4.5,0.156,54230.093460747004,67735.09822740356,0.11304435655857031,1.0261052968931867,0.00602714142493151
75,JT-10,LIBS_XRF,4.5,0.156,48281.44445701143,77131.35024496315,0.16371007143126076,0.9836690603935656,0.003484911248063558
76,JT-10,LIBS_XRF,4.5,0.156,42457.86163898074,65420.88683924921,0.14488519858762378,1.020363710101947,0.004012584737082897
77,JT-10,LIBS_XRF,4.5,0.156,38693.7130156375,70623.34837375517,0.143829401421465,0.9884412578175782,0.006857398903695931
78,JT-10,LIBS_XRF,4.5,0.156,44218.23314634205,66786.16225841826,0.08408559924710539,1.0265324302996734,0.010200950413279293
79,JT-10,LIBS_XRF,4.5,0.156,52803.06385504337,72776.33120317318,0.14509392324165946,1.0551320809436566,6.33054210339227e-4
80,JT-10,LIBS_XRF,4.5,0.156,46530.6885876781,67330.14598928898,0.14313057329087953,1.0145879745274902,0.00879420498897223
81,JT-10,LIBS_XRF,4.5,0.156,45500.361750526696,58870.63577699501,0.14521143949533802,1.0344411966551346,0.008168363201456294
82,JT-10,LIBS_XRF,4.5,0.156,37193.74395263942,64020.63020289861,0.13404701981478045,0.9862151952340238,0.00494726736085376
83,JT-10,LIBS_XRF,4.5,0.156,41645.79837547931,68571.30789939096,0.09742536940158378,1.00464133973216,0.0043099200633464115
84,JT-10,LIBS_XRF,4.5,0.156,39633.96941422647,62821.31515341826,0.14617508153278505,0.9936372298296788,0.006275571352080584
85,JT-10,LIBS_XRF,4.5,0.156,41074.26401963713,68916.35884364884,0.09999499899524911,0.9929801927960058,0.007074149107534862
86,JT-10,LIBS_XRF,4.5,0.156,42382.56130811986,67476.77582415164,0.1782041574357267,1.0266982847719062,0.0019372114143277643
87,JT-10,LIBS_XRF,4.5,0.156,43101.008035953266,62856.30626533429,0.16439493387284979,1.0339727005510007,0.004136965998567692
88,JT-10,LIBS_XRF,4.5,0.156,38646.339761260475,64066.327301216086,0.14733571201547466,1.0448205787394513,0.008882946791044304
89,JT-10,LIBS_XRF,4.5,0.156,49392.6411763712,66780.25440537244,0.1753215264764322,0.9983890821229768,0.009845507495086206
90,JT-10,LIBS_XRF,4.5,0.156,39004.60968302226,74054.01370742428,0.10687959337608888,1.0115503334419946,0.0029472170295763074
91,JT-10,LIBS_XRF,4.5,0.156,52055.69683909032,62035.190944783586,0.11847067120342522,1.042771143615824,0.010899913452569455
92,JT-10,LIBS_XRF,4.5,0.156,60572.547430027844,74708.56272224973,0.12066575811854946,0.9667633083615375,0.001729503420319793
93,JT-10,LIBS_XRF,4.5,0.156,41185.33745369034,69349.54013523838,0.14483698629264352,1.0422613925978683,0.0023158507944092653
94,JT-10,LIBS_XRF,4.5,0.156,47392.67257041415,70393.18881392226,0.09300083581029525,1.0235605016336795,6.403346625631781e-4
95,JT-10,LIBS_XRF,4.5,0.156,55134.89422131916,65738.24105075479,0.09193753543731642,1.0156356339075838,0.008807531373146858
96,JT-10,LIBS_XRF,4.5,0.156,50655.049432415995,69226.00450593795,0.10212593614922727,1.0163876264556584,0.008635585602423293
97,JT-10,LIBS_XRF,4.5,0.156,52069.79057795852,63016.97355723939,0.11492055302857897,1.0351208607898599,0.005063965389610849
98,JT-10,LIBS_XRF,4.5,0.156,48155.48340591136,70156.28476236314,0.11087494454486478,1.0443497061101252,0.003521217244236011
99,JT-10,LIBS_XRF,4.5,0.156,53662.23055607281,68109.12408882627,0.16261273662723208,1.0367424274212247,0.003002581823509808
100,JT-10,LIBS_XRF,4.5,0.156,49834.98772325613,65847.21411839573,0.1524607175034747,1.0175682332994234,0.01123664508998351
101,JT-10,LIBS_XRF,4.5,0.156,54994.12708803644,74287.01431758211,0.18078873549545418,1.0376479705774118,1.786080144225656e-4
102,JT-10,LIBS_XRF,4.5,0.156,47834.69707763592,66918.99967309371,0.1520974089400231,1.0585772320170206,0.004298168182947484
103,JT-10,LIBS_XRF,4.5,0.156,50837.59934452974,69071.27794103531,0.19044403693592477,1.0379595863726059,0.010489438248410688
104,JT-10,LIBS_XRF,4.5,0.156,47738.01552380049,65570.19439201495,0.13094933384024232,0.9988021967550862,0.012897919842775905
105,JT-10,LIBS_XRF,4.5,0.156,54219.07357456887,64556.582585098105,0.08967175819303938,1.020855356980957,0.0013145907371887393
106,JT-10,LIBS_XRF,4.5,0.156,44613.43544572939,63288.75344657138,0.07907434136413533,0.9905098265331184,0.010054028042091542
107,JT-10,LIBS_XRF,4.5,0.156,46217.38065678136,71395.48261500898,0.1252704096031701,1.0199888720451016,0.007521405159499555
108,JT-10,LIBS_XRF,4.5,0.156,47626.53052062954,67407.8773308711,0.13917379731646887,1.0458405768022385,0.005196035083451778
109,JT-10,LIBS_XRF,4.5,0.156,59359.219303271566,74705.09933830544,0.13297493063431917,0.9554471938886169,0.002454463867833962
110,JT-10,LIBS_XRF,4.5,0.156,40829.2294221341,69954.43257620001,0.08452310196721698,1.0461446427181895,0.012366378203852134
111,JT-10,LIBS_XRF,4.5,0.156,43508.577312691945,63965.27575195733,0.0845724474047558,0.9994249085260716,0.00427999990826574
112,JT-10,LIBS_XRF,4.5,0.156,44004.22199409594,69896.58590935898,0.12003518616524989,1.0216407957517022,0.009264728181408218
113,JT-10,LIBS_XRF,4.5,0.156,42644.58166382555,69518.5895540142,0.15073097267418376,1.026297874751744,3.141575568211879e-5
114,JT-10,LIBS_XRF,4.5,0.156,48256.3687696687,69130.78193087257,0.12224176739043258,1.0223761441305397,0.0061862259487830955
115,JT-10,LIBS_XRF,4.5,0.156,33934.1060409607,71528.84675987635,0.1321312301168853,1.0551516255721598,6.757595338223773e-4
116,JT-10,LIBS_XRF,4.5,0.156,44332.45431308009,63414.894998783864,0.10725780586266383,1.0095159321686626,1.3340401797338683e-4
117,JT-10,LIBS_XRF,4.5,0.156,42259.665784329685,65746.2173648408,0.10327275267583463,1.0130361747842993,0.005639226176430751
118,JT-10,LIBS_XRF,4.5,0.156,37925.59262405259,63003.70180802027,0.10731973496578325,1.0167296687689122,0.006538365590060241
119,JT-10,LIBS_XRF,4.5,0.156,59076.246393203444,68541.61582592897,0.11593841505748823,1.0218398207570776,0.004251292598057626
120,JT-10,LIBS_XRF,4.5,0.156,44007.22459634245,60277.5555281032,0.15701863308682762,1.0310126915950026,0.0101546772437315
121,JT-10,LIBS_XRF,4.5,0.156,46918.59300485604,70713.01261696957,0.09731731794705314,1.0202266799275777,9.132469396039384e-4
122,JT-10,LIBS_XRF,4.5,0.156,53147.30184666917,72312.05798456317,0.10344040259920667,1.0088832958150644,3.165660876054328e-4
123,JT-10,LIBS_XRF,4.5,0.156,40721.606501097194,70348.28869359546,0.10972988398735856,1.04131494020434,0.0023536160430810684
124,JT-10,LIBS_XRF,4.5,0.156,40062.118356601815,65124.28587266991,0.12762908151494326,0.9939173459292714,0.0017276936961240835
125,JT-10,LIBS_XRF,4.5,0.156,45457.56677315212,68351.9213934519,0.10683122067086956,1.0022214983135456,0.014884527384637738
126,JT-10,LIBS_XRF,4.5,0.156,39829.496074881994,68344.97854682643,0.13289350623162405,1.033995983387426,0.0017115673960954522
127,JT-10,LIBS_XRF,4.5,0.156,46783.265432022316,66962.83381781963,0.12818408153052463,1.0209987604268476,2.4320655540381055e-4
128,JT-10,LIBS_XRF,4.5,0.156,53659.48117671046,65474.880757764375,0.1527815343229509,0.9546125575187603,0.0014029039182996183
129,JT-10,LIBS_XRF,4.5,0.156,47831.819527751824,62186.0392910923,0.1254650009011952,1.0113269450704239,0.004918893427521484
130,JT-10,LIBS_XRF,4.5,0.156,50139.666839413636,69602.08877235846,0.10872408103214667,1.0345548431512006,0.012815131164080323
131,JT-10,LIBS_XRF,4.5,0.156,57670.74429157423,67245.3364335149,0.12572215297754408,1.0344071985457992,0.0049496335415529225
132,JT-10,LIBS_XRF,4.5,0.156,34881.95750226821,68521.33534386459,0.13532037874115233,1.0672530728892733,0.015887100909105063
133,JT-10,LIBS_XRF,4.5,0.156,31696.367273414573,63356.34984320548,0.13103732499251602,1.0356102081262064,0.0012685137461296962
134,JT-10,LIBS_XRF,4.5,0.156,48572.84077820117,61551.98345515307,0.11735215783600493,1.0170953359395563,0.002202113741231669
135,JT-10,LIBS_XRF,4.5,0.156,41352.50697587436,72473.65857738063,0.10141985292450029,1.016012095884006,0.0015710016827119979
136,JT-10,LIBS_XRF,4.5,0.156,48045.681235199925,71250.17774605741,0.11097290326218288,1.045787882077456,0.002593041065573128
137,JT-10,LIBS_XRF,4.5,0.156,57950.84892384169,73049.65185990847,0.06708651880836844,1.0190996295113353,0.01674390467072454
138,JT-10,LIBS_XRF,4.5,0.156,41090.67766124062,60877.74062628176,0.14569793207427045,1.0088670273826732,0.010434738239828057
139,JT-10,LIBS_XRF,4.5,0.156,52313.209581384945,62608.27344396816,0.136348798588559,1.0099956832540398,0.00300480508784397
140,JT-10,LIBS_XRF,4.5,0.156,57813.37846467526,75934.93364736829,0.09067939302080927,1.0315731845660878,0.01448836019559795
141,JT-10,LIBS_XRF,4.5,0.156,49261.78494598958,69617.19413109387,0.14451929991181311,1.0419336715324214,0.003952436678050676
142,JT-10,LIBS_XRF,4.5,0.156,39880.93265803352,64898.06737383491,0.10409731787180589,0.997137358048188,0.019915866053285797
143,JT-10,LIBS_XRF,4.5,0.156,48449.96335385966,69704.30483610081,0.1394410774828458,1.0505951270848315,0.0076608028913604
144,JT-10,LIBS_XRF,4.5,0.156,38774.76074233873,69610.17095807588,0.1135504408662681,1.035542920903426,0.0038470808956542458
145,JT-10,LIBS_XRF,4.5,0.156,42266.31081115461,74699.45949624006,0.14088521119696976,1.0454621555433847,0.004724783150785276
146,JT-10,LIBS_XRF,4.5,0.156,43021.1114296269,68033.81135246484,0.132885610550982,1.010775971401031,0.005747237881538287
147,JT-10,LIBS_XRF,4.5,0.156,48365.17122083532,65603.81452718364,0.14461178395857852,1.0430314907925726,0.014945926997463912
148,JT-10,LIBS_XRF,4.5,0.156,48732.18856250771,72336.32567867832,0.10741742180909825,1.0233382932484933,0.010807845757997992
149,JT-10,LIBS_XRF,4.5,0.156,37776.758368653966,67974.08272993907,0.10021200723633207,0.9968860263808956,0.009388480770155139
150,JT-10,LIBS_XRF,4.5,0.156,45120.5922554601,67772.38073090113,0.14274306025226882,1.0104135274033688,0.0010934721796386343
151,JT-10,LIBS_XRF,4.5,0.156,42307.38553063644,66070.17161403748,0.125927373687002,1.0360714149731736,0.001172410948758068
152,JT-10,LIBS_XRF,4.5,0.156,48309.78188614966,65796.13853552568,0.154402790065763,0.9926491535992272,0.004018491827728405
153,JT-10,LIBS_XRF,4.5,0.156,52253.25127536899,70467.2538423503,0.06335594632338679,1.0026951020952175,0.0017165619916817785
154,JT-10,LIBS_XRF,4.5,0.156,39627.49280982313,62632.49592601198,0.13717212470244164,1.0154829267876817,0.02236478571221743
155,JT-10,LIBS_XRF,4.5,0.156,49315.0747889544,72819.57878358259,0.17409077430481298,1.0482648690787677,0.013805808636770209
156,JT-10,LIBS_XRF,4.5,0.156,60121.6624625787,69890.54431146862,0.13065690336030042,1.0198405866401083,0.006259140075033462
157,JT-10,LIBS_XRF,4.5,0.156,55953.19878417731,68266.13347680867,0.09029482410810655,1.0370584404602112,0.007447568232963748
158,JT-10,LIBS_XRF,4.5,0.156,48831.22052892157,64973.04365966024,0.1289476252293257,1.0189570782956237,0.0037770898658626637
159,JT-10,LIBS_XRF,4.5,0.156,47010.36535712505,66972.92116940596,0.11668548881419472,1.0397450039341525,0.008487956028139221
160,JT-10,LIBS_XRF,4.5,0.156,43395.72452336167,66730.51181991675,0.09250435695226769,1.0220966175769761,5.284607076525467e-4
161,JT-10,LIBS_XRF,4.5,0.156,50154.04959084618,69062.63227304327,0.11580483867903535,1.031221090005759,0.008704802712703921
162,JT-10,LIBS_XRF,4.5,0.156,47435.78898553284,67849.3117806232,0.10819567441778358,1.0058453045280202,0.003359368804928294
163,JT-10,LIBS_XRF,4.5,0.156,41454.38164207848,68352.24018524252,0.13197360766823166,1.0397361674860293,6.182656776520577e-4
164,JT-10,LIBS_XRF,4.5,0.156,42257.35514383033,62686.55694952367,0.08953780750442963,1.0088135584458422,0.004923463698883084
165,JT-10,LIBS_XRF,4.5,0.156,39463.21575828579,70512.89853590597,0.06899390452533607,1.0223777254159663,0.002281511331053624
166,JT-10,LIBS_XRF,4.5,0.156,50456.56350877792,69679.9820729323,0.04919493130340363,1.0040664532707844,0.005622700065619194
167,JT-10,LIBS_XRF,4.5,0.156,44537.90396971501,68387.443604644,0.11681332809919608,1.0257548516810713,0.0038351393160419005
168,JT-10,LIBS_XRF,4.5,0.156,49361.382879542194,76193.79012145814,0.1250283255740315,1.0011532873195064,0.007909288035092676
169,JT-10,LIBS_XRF,4.5,0.156,50818.6371126303,70830.99864911659,0.13472722996745937,1.0112918635747157,0.0032841704407797984
170,JT-10,LIBS_XRF,4.5,0.156,45525.72258885909,64041.64942697046,0.09735294371627594,1.0505458075311995,0.01893404244358434
171,JT-10,LIBS_XRF,4.5,0.156,48056.46633748699,65575.66824228266,0.12223474643056341,1.0166931724984467,0.010124132027779674
172,JT-10,LIBS_XRF,4.5,0.156,48282.07073465864,63187.31262885555,0.11440162761360415,0.9862467106199967,0.018201592134067843
173,JT-10,LIBS_XRF,4.5,0.156,51868.52971774043,66529.08317721295,0.15447624216105701,1.0304533732396177,0.02290736926908931
174,JT-10,LIBS_XRF,4.5,0.156,51034.84430546338,60689.57968678192,0.11229440885726748,1.0430507293623725,0.007314375657313154
175,JT-10,LIBS_XRF,4.5,0.156,40799.24958898357,68460.70976993901,0.1058687183818448,1.0638374302051636,0.008931031778303896
176,JT-10,LIBS_XRF,4.5,0.156,44144.07733673195,70577.96850701382,0.12347137241440498,1.008497296050647,0.01179171946078393
177,JT-10,LIBS_XRF,4.5,0.156,48426.9069939148,65650.49593342272,0.13277872301559068,1.0141261545762463,0.008706056197846873
178,JT-10,LIBS_XRF,4.5,0.156,44237.7699031943,68606.98786498528,0.11724496047153676,0.9973292694973309,6.447062866020298e-4
179,JT-10,LIBS_XRF,4.5,0.156,40955.74753823784,72965.10882137142,0.13293549469410618,1.0172471297854169,0.004798693748719616
180,JT-10,LIBS_XRF,4.5,0.156,49737.409374254734,69274.8041021243,0.09398149035767892,1.0202257714846854,0.013432081244732245
181,JT-10,LIBS_XRF,4.5,0.156,35544.67113205727,73098.07427620793,0.1582885249752806,1.0552208758217272,0.008114281130331465
182,JT-10,LIBS_XRF,4.5,0.156,44638.58825861515,68072.36694182706,0.13258806307706258,1.0161564054558572,0.004304213545221732
183,JT-10,LIBS_XRF,4.5,0.156,55081.66551068285,69717.78561387757,0.09893210184471815,0.9817677434652815,0.010945937584301676
184,JT-10,LIBS_XRF,4.5,0.156,60148.287839616096,69542.41283309252,0.14027622608002605,1.0128805827551708,0.011542070294922144
185,JT-10,LIBS_XRF,4.5,0.156,50206.406335390915,62586.05724473953,0.18403379379399687,1.0486990386683255,0.002981627812876847
186,JT-10,LIBS_XRF,4.5,0.156,42842.97671861453,66704.02866155693,0.13509221364027613,1.0547041965718358,0.0026750425035374456
187,JT-10,LIBS_XRF,4.5,0.156,47021.340181800384,72470.99986190358,0.14695189848772225,1.012992681453049,0.006203157017644238
188,JT-10,LIBS_XRF,4.5,0.156,45876.76967119934,70891.63636225737,0.07168357455748126,0.9848246398895601,0.001680845682917535
189,JT-10,LIBS_XRF,4.5,0.156,52784.14130128386,70409.39284196694,0.12942625985248127,1.0312173622113139,0.013215478552479306
190,JT-10,LIBS_XRF,4.5,0.156,54671.73207790765,67710.47591707972,0.13569114609430968,0.9902063434742737,8.032733127559288e-4
191,JT-10,LIBS_XRF,4.5,0.156,52111.4007132398,65997.78774221115,0.13411876524450184,1.0135271892296642,0.01450191519634463
192,JT-10,LIBS_XRF,4.5,0.156,39617.61321123186,76294.8070263764,0.09770576011382924,1.02940833525848,0.012390678524119896
193,JT-10,LIBS_XRF,4.5,0.156,53578.821751745214,66886.69467683243,0.1404512890403395,1.0119488074447875,0.014030551151064833
194,JT-10,LIBS_XRF,4.5,0.156,33790.64107582262,64857.7079539076,0.15332559335257964,1.0250478067326385,3.9191955733492074e-4
195,JT-10,LIBS_XRF,4.5,0.156,49075.388862766216,74158.68029049116,0.11433337145945593,1.0403668986523322,0.00971575607483407
196,JT-10,LIBS_XRF,4.5,0.156,46581.75205427606,69718.17316088479,0.1296098685046572,1.0301317324852257,0.0032953934012139798
197,JT-10,LIBS_XRF,4.5,0.156,45094.85784934301,68023.37903116681,0.11518752861886648,1.0217889422196504,4.496653623190072e-4
198,JT-10,LIBS_XRF,4.5,0.156,43170.67599900759,70982.6334838493,0.10077754393020902,0.9866617569210262,0.004020897599406107
199,JT-10,LIBS_XRF,4.5,0.156,47924.73309457102,62500.210613139294,0.1432852551290738,0.9867998688342919,0.002997704289754679
200,JT-10,LIBS_XRF,4.5,0.156,50954.78551285922,68637.02342917312,0.10311537860986059,1.00410170283896,0.0021633679359062226
201,JT-10,LIBS_XRF,4.5,0.156,41249.56447527221,64474.37254030748,0.12567731631676116,1.0149433269073649,0.0011231221385016982
202,JT-10,LIBS_XRF,4.5,0.156,38760.105389160744,66326.92887355859,0.08708660300441277,0.9875327423691717,0.0044227343990871654
203,JT-10,LIBS_XRF,4.5,0.156,49085.50726913681,71344.99790884445,0.09991301627155813,1.0387201786468043,8.070457860576111e-4
204,JT-10,LIBS_XRF,4.5,0.156,44818.92437629225,67543.53341035233,0.13041731648745875,1.0364693231662474,0.009498743881049211
205,JT-10,LIBS_XRF,4.5,0.156,46730.605793614544,76086.90569943783,0.16282824453321315,1.0210265152438882,0.01820866938901492
206,JT-10,LIBS_XRF,4.5,0.156,51082.37273981058,64793.850823513465,0.13586832714291514,1.0138772966874121,0.020891698985588743
